"","z_GLG_LDL","z_GIANT_BMI","z_CARDIOGRAMPLUSC4D_CAD","Cluster","entropy"
"1",0.123926712555955,5.40264861416958,-1.18728226797389,2,0.0580637177604767
"2",6.36514919376857,0.079166738955445,-0.869515744845026,1,0.0109539542435336
"3",-1.0747202382839,5.40463637209331,1.26200301911528,2,0.0436397606014665
"4",-1.22334345682676,7.21278235461603,0.817317514888542,2,0.00120653311030159
"5",-2.48148461083062,5.94914926730053,0.684803858837258,2,0.0446619433092691
"6",11.0613815572185,0.158960493010094,2.77708401099314,1,3.95321524080783e-08
"7",-0.335961366394206,2.10986483442795,-7.53191893056142,3,0.00418086194913461
"8",9.65478625014785,1.2634528762037,1.08984982907684,1,4.64912236703466e-05
"9",0.259977476818079,12.8724642985995,0.963634706727551,2,3.03362410019086e-12
"10",-0.0503839475942596,7.91526074223602,-0.2735209374347,2,0.000195274230316956
"11",0.750090833306277,6.44645048468729,1.59247507151118,2,0.00964077119353668
"13",-1.11836127265379,7.1906122197643,1.05652921648907,2,0.00120194621481427
"14",-28.7881768597957,2.01416826363306,-8.43613639312814,1,4.89321937327038e-49
"17",-1.06163812264713,12.399854050876,0.647931741101087,2,3.33510645568497e-11
"19",-0.770168410197861,6.03384867304045,4.52358808067181,2,0.0405483154205074
"21",-6.55348388908566,1.61551137046773,-1.34906683396814,1,0.0133563377971261
"22",-1.16554118336124,1.90678211047646,-7.12913722918875,3,0.0148570685842833
"23",6.65644652255045,0.946366862726204,2.39858179770678,1,0.006688132676062
"24",-1.69468431068771,15.7593999169791,2.93539810338085,2,4.18093222361187e-18
"26",-6.52005844861742,1.1784933045978,0.0963508833041069,1,0.046901630511342
"27",-23.3103256894562,1.7330845061013,-1.97356258800903,1,6.18902811299199e-29
"28",0.549590902625546,10.0544953085072,1.97165941177429,2,3.77368456623725e-07
"29",0.775574942818884,6.06348887419863,-2.31016176463148,2,0.0497209858711276
"32",-14.4540117203142,2.12436062335594,-4.91496129792544,1,1.28165579111911e-12
"33",0.442317855186765,7.77221253494318,2.01282160671928,2,0.000380306188294095
"36",-7.37735796527829,0.840814481997097,-1.71620570178867,1,0.00889475315971935
"38",-1.54519129219354,5.58679386387388,0.199536620804734,2,0.0405082215588371
"41",-0.210214837038797,5.70029539749056,1.84298842847515,2,0.0264777799810123
"42",4.19594022082015,4.08240909537658,-8.56401885793214,3,9.20634363520161e-07
"43",-1.05921911853447,5.32654225833954,2.19021428111315,2,0.0518567710744198
"44",-1.02492198533538,6.44278604824957,2.38121793353534,2,0.00632140794793075
"46",-1.75181889922073,5.46855389953484,-3.66963188182755,2,0.092459329699662
"47",-5.65088478799654,2.29373722260888,-1.25971303882514,1,0.0281442282623732
"48",-0.46267129034844,5.96303193973736,1.07287032978224,2,0.0150870046460251
"49",0.52324133445441,6.02349852625317,0.250835879941243,2,0.0189505087935261
"51",1.13065578027479,6.39277676904949,1.55928094373948,2,0.0143821413555232
"53",0.310431261644801,7.86679928456841,-1.55871478850481,2,0.000383966988478398
"54",-4.9615167813157,3.03090857819557,0.184438715727267,1,0.0997914394671006
"55",0.0540252721717144,5.10608478129048,0.700165054576868,2,0.0717374131625978
"58",-1.37067735937125,6.67629914440354,1.4121459207035,2,0.00423265174509361
"59",-0.795401864524743,10.4748567753887,0.669057812519439,2,5.81839314139061e-08
"60",3.08993545001467,12.9261425273484,3.27388439621712,2,1.13513128083188e-09
"61",0.46713960522413,5.36537770055816,1.33458411467781,2,0.0560945566891648
"62",-1.55267833784075,7.04724106374358,-0.298475333023725,2,0.00226860662713591
"63",-0.65821498058404,6.17027806363511,0.0683120902309163,2,0.010397739162673
"66",-0.560116465723087,5.5698218040453,-1.80393625877599,2,0.0414476384016806
"67",-0.488352755240163,0.937502769170445,5.92463069205005,3,0.079263286678363
"68",0.0352594700625682,1.13475483709561,6.66403963843526,3,0.0372683337341235
"69",-15.4292288721362,5.6724902845297,-1.82520566008142,1,1.03263481124738e-18
"70",-0.371990395950487,5.05920864981751,1.68740293432339,2,0.0736955777128724
"73",1.08504889519455,5.37837772701911,0.625309875050901,2,0.0781328507798303
"74",-9.74764341889096,1.26967618291718,-1.4458321010319,1,6.12470817126804e-05
"75",1.21151001160615,1.66501381329661,-13.6579532088982,3,2.64085524381373e-12
"76",7.54852469618872,1.95751000054605,0.656506945762096,1,0.0109680513884349
"77",6.29082257253174,0.496666377733776,4.22400379967202,1,0.0147175289280645
"78",-8.43583415796336,1.4261668032848,-1.93989564981823,1,0.000560803291523655
"80",2.02332161301437,0.173956053234759,-5.62547331956848,3,0.0633551031227006
"81",1.65275368125806,6.05074295976161,-0.547214901150375,2,0.054597076831898
"83",1.41836091557738,12.5587927175453,1.88330534125719,2,6.05793696903882e-11
"84",5.90899781746712,1.07463657865566,1.2917097599317,1,0.0271190049905577
"86",0.292505703128609,5.64908935787679,0.732833149864396,2,0.0322522126758574
"87",6.05105431913697,0.119333275813132,-1.48913546688685,1,0.031348919818511
"89",-2.75412435530304,0.023686212030729,6.7074903863476,3,0.00152212454000323
"90",0.31837565865187,5.16943721460463,2.08172714177375,2,0.0772607500642073
"92",-8.51251550216322,0.661799073484022,-2.28555679851562,1,0.00145593889698292
"93",-7.43502895378859,0.107306672136054,11.4192794010649,3,3.6108382115353e-12
"94",0.420527697544103,5.78297723036737,2.40424292697552,2,0.031636540886278
"95",1.18302308125674,0.0755212383864247,-6.18808367940163,3,0.0320581432840091
"96",-6.88267118362409,0.294282616372957,-1.40378124667014,1,0.0376293880622316
"97",-6.59526392965858,1.47133700667046,-2.18921110336777,1,0.0128365820501197
"98",-1.59148708351536,6.18191157071068,1.17801832692852,2,0.013291505640057
"99",-2.12125915020974,7.01335599367036,-1.28534285736768,2,0.00413090693210173
