"","gene_19","gene_204","gene_220","gene_221","gene_451","gene_1511","gene_1859","gene_2038","gene_2289","gene_3440","gene_3462","gene_3524","gene_3738","gene_3922","gene_5830","gene_6734","gene_7239","gene_7422","gene_7897","gene_7965"
"1",5.61999396281,1.59865104788,0.591870870063,10.0079663253,1.82203667202,2.33833883468,7.11838049237,0,1.59865104788,3.18816351558,11.7757995552,4.85267806267,1.0102785673,1.3342822253,0.591870870063,13.9007064577,11.6439193063,4.14861690446,10.2022585344,0
"2",11.0552078582,0.323658291026,0,6.37555731805,0,5.65245494458,9.84204857172,0,0.323658291026,0.811142173669,10.6849414343,0.323658291026,1.00439352315,8.39137249164,0,8.21697861038,10.8581753106,0.811142173669,8.31480526742,0.587845009254
"3",8.21024760403,1.07416287551,0.452595434703,7.71640793882,0.796597754048,1.30684550031,8.99508308628,0,1.07416287551,3.45276673469,10.4884929166,2.43879850476,2.33725438047,7.18437948621,0,9.29502501442,11.9443240696,1.30684550031,9.16121756015,2.22801825364
"4",8.30631693043,1.03941918313,0.434881719407,8.30908521564,2.05869746918,7.8869098008,8.0509043247,0.768586635001,1.03941918313,1.46409316524,11.11868806,0.434881719407,3.00644165782,5.66113390641,0,12.143370458,12.8441977114,6.19905784181,10.4595955519,1.26735601178
"5",10.1491501063,0.360982241369,0,3.37033170158,0.649385529182,7.09078993015,7.91584950906,0.88970715844,1.58009723295,0.649385529182,10.4610394094,0,1.83126923597,5.98959318494,0,11.3515907879,11.2781880767,7.79732431727,9.8253738334,0.649385529182
"6",6.84276517646,0,0.515409693386,12.298286002,0.515409693386,7.15676064243,8.05485390228,0.515409693386,2.14893410453,4.40465111885,11.5943386015,2.62114930357,4.69506956891,4.48982548713,0,11.6687166009,10.7644652573,4.71878902802,9.89749608189,0
"7",7.42419988831,0.919683313397,5.68310690593,7.97020945025,0,7.63301700093,7.58022087413,1.69117679681,2.04292444517,2.32553033157,11.8115352516,0,2.19115201793,3.173926932,0,9.12717153105,11.5842813804,7.03052368716,9.78311447137,5.00935613084
"8",7.37343071197,0.441802154629,0.441802154629,8.43730681726,0,7.14050260354,7.95757802337,0.441802154629,1.05304180731,4.004357565,11.3554226788,5.29783336841,4.32117769835,2.50024117919,0,12.1922835664,11.2187448481,3.97178264216,9.8188793133,0
"9",10.1476246958,0,0,4.26566942487,0.871764810561,8.4367323601,9.46432927879,0.871764810561,0.871764810561,0.871764810561,10.0673267933,0,2.88017613363,8.37556079317,0.352306552906,6.97132512143,10.9047700796,8.29144700711,11.5046005314,0
"10",7.85678032261,1.56364626948,0,9.18615386667,1.56364626948,8.09558163375,7.76894517883,0,1.56364626948,2.63598650375,11.7895499465,5.32624250892,4.05726829917,4.3617613424,0,9.86628210186,11.7605619492,3.34027740477,10.1598082805,0
"11",7.96522441036,0,0,5.77967996361,1.19232043503,6.87156030455,8.60412322891,0,3.60151824825,2.61842661665,11.2997060057,0,2.40163046658,5.93018143813,0,11.2811998037,11.4288416887,8.11763790716,10.2222273714,0
"12",9.79618241072,0,12.6010302192,9.04777556854,4.00940988119,9.11741194001,8.05165487008,0,2.44964060512,0.425781538704,11.3092262195,0,1.02140865694,4.94795130165,0,4.8654091306,10.577702612,0.425781538704,9.87371786023,10.2836092965
"13",9.21703194414,1.56598704075,0,10.285460018,0.477366480067,6.71855342469,8.85962485495,0.477366480067,1.56598704075,6.8761608332,11.1797971524,3.01056502946,3.76011447058,3.99113632006,0,12.5589778801,11.8921633099,5.93073733756,9.98520154562,0
"14",8.52653445025,0,0,2.63424474929,0,1.80574645127,7.00338860486,0,2.11373383277,0,12.1994392375,0,1.16864203556,6.35971793926,0,13.2108524302,12.8132320611,2.85602955021,9.09050943706,0
